Nomor Perkara,Tanggal Penetapan,Tanggal Sidang Pertama
58/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 29 Apr. 2019","Senin, 06 Mei 2019"
57/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 29 Apr. 2019","Senin, 06 Mei 2019"
61/Pid.Sus-TPK/2019/PN Jkt.Pst, - , - 
60/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 30 Apr. 2019","Kamis, 09 Mei 2019"
38/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 20 Mar. 2019","Rabu, 27 Mar. 2019"
42/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 28 Mar. 2019","Senin, 08 Apr. 2019"
41/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 28 Mar. 2019","Senin, 08 Apr. 2019"
40/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 28 Mar. 2019","Senin, 08 Apr. 2019"
39/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 28 Mar. 2019","Senin, 08 Apr. 2019"
43/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 28 Mar. 2019","Senin, 08 Apr. 2019"
44/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 05 Apr. 2019","Rabu, 10 Apr. 2019"
47/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 08 Apr. 2019","Kamis, 11 Apr. 2019"
46/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 08 Apr. 2019","Kamis, 11 Apr. 2019"
45/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 08 Apr. 2019","Kamis, 11 Apr. 2019"
48/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 05 Apr. 2019","Senin, 15 Apr. 2019"
49/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 12 Apr. 2019","Senin, 22 Apr. 2019"
53/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 11 Apr. 2019","Senin, 22 Apr. 2019"
52/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 11 Apr. 2019","Senin, 22 Apr. 2019"
51/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 10 Apr. 2019","Senin, 22 Apr. 2019"
50/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 11 Apr. 2019","Senin, 22 Apr. 2019"
56/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 29 Apr. 2019","Rabu, 08 Mei 2019"
55/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 25 Apr. 2019","Rabu, 08 Mei 2019"
54/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 29 Apr. 2019","Rabu, 08 Mei 2019"
59/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 30 Apr. 2019","Rabu, 08 Mei 2019"
17/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 07 Feb. 2019","Rabu, 13 Feb. 2019"
16/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 07 Feb. 2019","Rabu, 13 Feb. 2019"
20/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 08 Feb. 2019","Rabu, 13 Feb. 2019"
21/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 14 Feb. 2019","Rabu, 20 Feb. 2019"
24/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 22 Feb. 2019","Rabu, 06 Mar. 2019"
23/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 22 Feb. 2019","Rabu, 06 Mar. 2019"
22/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 25 Feb. 2019","Rabu, 06 Mar. 2019"
25/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 01 Mar. 2019","Senin, 11 Mar. 2019"
26/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 01 Mar. 2019","Senin, 11 Mar. 2019"
27/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 01 Mar. 2019","Rabu, 13 Mar. 2019"
28/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 01 Mar. 2019","Rabu, 13 Mar. 2019"
29/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 04 Mar. 2019","Rabu, 13 Mar. 2019"
30/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019","Rabu, 13 Mar. 2019"
32/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019","Rabu, 13 Mar. 2019"
31/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019","Rabu, 13 Mar. 2019"
33/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 08 Mar. 2019","Rabu, 20 Mar. 2019"
34/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 13 Mar. 2019","Rabu, 20 Mar. 2019"
35/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 13 Mar. 2019","Rabu, 20 Mar. 2019"
36/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 18 Mar. 2019","Senin, 25 Mar. 2019"
37/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 19 Mar. 2019","Kamis, 28 Mar. 2019"
102/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 10 Des. 2018","Kamis, 13 Des. 2018"
104/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 18 Des. 2018","Kamis, 27 Des. 2018"
105/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 19 Des. 2018","Kamis, 27 Des. 2018"
2/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 03 Jan. 2019","Kamis, 10 Jan. 2019"
1/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 07 Jan. 2019","Kamis, 10 Jan. 2019"
6/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 04 Jan. 2019","Selasa, 15 Jan. 2019"
5/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 04 Jan. 2019","Selasa, 15 Jan. 2019"
4/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 07 Jan. 2019","Jumat, 11 Jan. 2019"
3/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 07 Jan. 2019","Jumat, 11 Jan. 2019"
8/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 09 Jan. 2019","Senin, 14 Jan. 2019"
7/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 09 Jan. 2019","Senin, 14 Jan. 2019"
9/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 09 Jan. 2019","Selasa, 15 Jan. 2019"
12/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 16 Jan. 2019","Kamis, 24 Jan. 2019"
11/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 15 Jan. 2019","Rabu, 23 Jan. 2019"
10/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 15 Jan. 2019","Rabu, 23 Jan. 2019"
14/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 16 Jan. 2019","Rabu, 23 Jan. 2019"
13/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 17 Jan. 2019","Rabu, 23 Jan. 2019"
15/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 21 Jan. 2019","Kamis, 31 Jan. 2019"
19/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 07 Feb. 2019","Rabu, 13 Feb. 2019"
18/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 08 Feb. 2019","Rabu, 13 Feb. 2019"
85/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 15 Okt. 2018","Senin, 22 Okt. 2018"
84/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 15 Okt. 2018","Senin, 22 Okt. 2018"
83/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 15 Okt. 2018","Senin, 22 Okt. 2018"
82/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 15 Okt. 2018","Senin, 22 Okt. 2018"
87/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 11 Okt. 2018","Rabu, 24 Okt. 2018"
89/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 26 Okt. 2018","Kamis, 01 Nov. 2018"
88/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 26 Okt. 2018","Kamis, 01 Nov. 2018"
90/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 31 Okt. 2018","Rabu, 07 Nov. 2018"
92/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 14 Nov. 2018","Rabu, 21 Nov. 2018"
91/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 14 Nov. 2018","Rabu, 14 Nov. 2018"
94/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 14 Nov. 2018","Kamis, 22 Nov. 2018"
93/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 14 Nov. 2018","Rabu, 28 Nov. 2018"
96/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 15 Nov. 2018","Rabu, 28 Nov. 2018"
95/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 14 Nov. 2018","Kamis, 22 Nov. 2018"
99/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 16 Nov. 2018","Senin, 26 Nov. 2018"
98/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 15 Nov. 2018","Senin, 26 Nov. 2018"
97/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 15 Nov. 2018","Senin, 26 Nov. 2018"
100/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 23 Nov. 2018","Kamis, 29 Nov. 2018"
101/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 30 Nov. 2018","Rabu, 05 Des. 2018"
103/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 10 Des. 2018","Kamis, 13 Des. 2018"
63/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 23 Jul. 2018","Rabu, 01 Agu. 2018"
62/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 23 Jul. 2018","Rabu, 01 Agu. 2018"
65/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 23 Jul. 2018","Senin, 30 Jul. 2018"
66/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 06 Agu. 2018","Rabu, 15 Agu. 2018"
67/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 08 Agu. 2018","Rabu, 15 Agu. 2018"
71/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 10 Agu. 2018","Senin, 20 Agu. 2018"
70/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 09 Agu. 2018","Senin, 13 Agu. 2018"
69/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 09 Agu. 2018","Senin, 20 Agu. 2018"
68/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 09 Agu. 2018","Kamis, 16 Agu. 2018"
72/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 20 Agu. 2018","Kamis, 23 Agu. 2018"
74/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 03 Sep. 2018","Rabu, 12 Sep. 2018"
73/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 03 Sep. 2018","Rabu, 12 Sep. 2018"
75/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 18 Sep. 2018","Kamis, 20 Sep. 2018"
76/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 14 Sep. 2018","Kamis, 20 Sep. 2018"
78/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 19 Sep. 2018","Kamis, 27 Sep. 2018"
77/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 19 Sep. 2018","Kamis, 27 Sep. 2018"
79/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 26 Sep. 2018","Kamis, 04 Okt. 2018"
80/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 28 Sep. 2018","Senin, 08 Okt. 2018"
81/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 04 Okt. 2018","Kamis, 11 Okt. 2018"
86/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 11 Okt. 2018","Rabu, 24 Okt. 2018"
42/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 11 Mei 2018","Kamis, 17 Mei 2018"
44/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 15 Mei 2018","Rabu, 23 Mei 2018"
45/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 18 Mei 2018","Kamis, 24 Mei 2018"
46/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 31 Mei 2018","Rabu, 06 Jun. 2018"
50/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 04 Jun. 2018","Senin, 25 Jun. 2018"
49/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 04 Jun. 2018","Senin, 25 Jun. 2018"
48/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 31 Mei 2018","Senin, 25 Jun. 2018"
47/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 04 Jun. 2018","Senin, 25 Jun. 2018"
52/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 26 Jun. 2018","Senin, 02 Jul. 2018"
51/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 26 Jun. 2018","Senin, 02 Jul. 2018"
53/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 03 Jul. 2018","Rabu, 11 Jul. 2018"
55/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 05 Jul. 2018","Rabu, 11 Jul. 2018"
54/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 05 Jul. 2018","Rabu, 11 Jul. 2018"
58/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 12 Jul. 2018","Rabu, 18 Jul. 2018"
57/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 12 Jul. 2018","Rabu, 18 Jul. 2018"
56/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 13 Jul. 2018","Kamis, 19 Jul. 2018"
59/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 20 Jul. 2018","Kamis, 26 Jul. 2018"
61/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 23 Jul. 2018","Rabu, 01 Agu. 2018"
60/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 23 Jul. 2018","Rabu, 01 Agu. 2018"
64/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 24 Jul. 2018","Rabu, 01 Agu. 2018"
21/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 09 Mar. 2018","Rabu, 14 Mar. 2018"
20/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 09 Mar. 2018","Rabu, 14 Mar. 2018"
25/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 09 Mar. 2018","Kamis, 22 Mar. 2018"
26/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 19 Mar. 2018","Selasa, 20 Mar. 2018"
28/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 19 Mar. 2018","Senin, 26 Mar. 2018"
29/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 19 Mar. 2018","Senin, 26 Mar. 2018"
27/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 19 Mar. 2018","Senin, 26 Mar. 2018"
30/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 19 Mar. 2018","Senin, 26 Mar. 2018"
31/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 20 Mar. 2018","Senin, 02 Apr. 2018"
32/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 23 Mar. 2018","Rabu, 28 Mar. 2018"
33/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 29 Mar. 2018","Kamis, 05 Apr. 2018"
34/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 20 Apr. 2018","Rabu, 02 Mei 2018"
35/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 20 Apr. 2018","Kamis, 26 Apr. 2018"
36/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 18 Apr. 2018","Kamis, 26 Apr. 2018"
37/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 27 Apr. 2018","Senin, 07 Mei 2018"
38/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 03 Mei 2018","Senin, 14 Mei 2018"
39/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 14 Mei 2018","Senin, 21 Mei 2018"
40/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 08 Mei 2018","Rabu, 16 Mei 2018"
41/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 09 Mei 2018","Rabu, 30 Mei 2018"
43/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 11 Mei 2018","Kamis, 17 Mei 2018"
4/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 16 Jan. 2018","Senin, 22 Jan. 2018"
3/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 16 Jan. 2018","Senin, 22 Jan. 2018"
6/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 22 Jan. 2018","Rabu, 31 Jan. 2018"
5/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 22 Jan. 2018","Rabu, 31 Jan. 2018"
7/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 29 Jan. 2018","Rabu, 07 Feb. 2018"
8/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 30 Jan. 2018","Kamis, 08 Feb. 2018"
9/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 02 Feb. 2018","Kamis, 08 Feb. 2018"
10/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 14 Feb. 2018","Rabu, 21 Feb. 2018"
11/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 19 Feb. 2018","Rabu, 28 Feb. 2018"
12/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 15 Feb. 2018","Rabu, 28 Feb. 2018"
13/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 26 Feb. 2018","Selasa, 06 Mar. 2018"
14/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 26 Feb. 2018","Selasa, 06 Mar. 2018"
16/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 22 Feb. 2018","Rabu, 28 Feb. 2018"
15/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 22 Feb. 2018","Rabu, 28 Feb. 2018"
18/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 26 Feb. 2018","Rabu, 07 Mar. 2018"
17/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 28 Feb. 2018","Kamis, 08 Mar. 2018"
19/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 05 Mar. 2018","Kamis, 15 Mar. 2018"
24/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 09 Mar. 2018","Rabu, 14 Mar. 2018"
23/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 09 Mar. 2018","Rabu, 14 Mar. 2018"
22/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 08 Mar. 2018","Rabu, 14 Mar. 2018"
115/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 27 Okt. 2017","Rabu, 08 Nov. 2017"
116/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 02 Nov. 2017","Kamis, 09 Nov. 2017"
117/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 07 Nov. 2017","Kamis, 16 Nov. 2017"
121/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 07 Nov. 2017","Rabu, 15 Nov. 2017"
119/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 08 Nov. 2017","Rabu, 15 Nov. 2017"
118/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 09 Nov. 2017","Kamis, 16 Nov. 2017"
120/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 07 Nov. 2017","Rabu, 22 Nov. 2017"
122/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 08 Nov. 2017","Selasa, 14 Nov. 2017"
123/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 15 Nov. 2017","Senin, 20 Nov. 2017"
126/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 16 Nov. 2017","Rabu, 22 Nov. 2017"
124/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 16 Nov. 2017","Rabu, 22 Nov. 2017"
125/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 16 Nov. 2017","Rabu, 22 Nov. 2017"
127/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 28 Nov. 2017","Rabu, 06 Des. 2017"
129/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 30 Nov. 2017","Senin, 11 Des. 2017"
128/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 30 Nov. 2017","Senin, 11 Des. 2017"
130/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 07 Des. 2017","Rabu, 13 Des. 2017"
131/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 20 Des. 2017","Kamis, 04 Jan. 2018"
132/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 19 Des. 2017","Rabu, 03 Jan. 2018"
1/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 04 Jan. 2018","Kamis, 11 Jan. 2018"
2/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 09 Jan. 2018","Kamis, 18 Jan. 2018"
96/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 25 Jul. 2017","Rabu, 02 Agu. 2017"
95/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 25 Jul. 2017","Rabu, 02 Agu. 2017"
98/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 26 Jul. 2017","Rabu, 02 Agu. 2017"
97/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 26 Jul. 2017","Rabu, 02 Agu. 2017"
99/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 04 Agu. 2017","Jumat, 11 Agu. 2017"
100/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 09 Agu. 2017","Senin, 14 Agu. 2017"
102/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 10 Agu. 2017","Rabu, 16 Agu. 2017"
101/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 10 Agu. 2017","Rabu, 16 Agu. 2017"
105/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 10 Agu. 2017","Rabu, 16 Agu. 2017"
104/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 11 Agu. 2017","Rabu, 16 Agu. 2017"
103/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 08 Agu. 2017","Jumat, 18 Agu. 2017"
